,date,code_insee_region,region,tmin,tmax,tmoy,annee,mois
21612,2021-01-14,27,Bourgogne-Franche-Comté,5.62,8.3,6.96,2021,1
21613,2021-01-14,53,Bretagne,8.38,11.62,10.0,2021,1
21614,2021-01-15,24,Centre-Val de Loire,1.55,4.25,2.9,2021,1
21615,2021-01-15,93,Provence-Alpes-Côte d'Azur,4.33,11.52,7.93,2021,1
21616,2021-01-15,44,Grand Est,-2.91,0.9,-1.01,2021,1
21617,2021-01-15,84,Auvergne-Rhône-Alpes,0.63,4.73,2.68,2021,1
21618,2021-01-16,52,Pays de la Loire,-2.1,8.95,3.42,2021,1
21619,2021-01-16,28,Normandie,-2.8,7.2,2.2,2021,1
21620,2021-01-17,52,Pays de la Loire,4.5,10.15,7.32,2021,1
21621,2021-01-17,53,Bretagne,3.72,10.22,6.98,2021,1
21622,2021-01-17,28,Normandie,3.68,8.42,6.05,2021,1
21623,2021-01-17,27,Bourgogne-Franche-Comté,-1.03,4.68,1.83,2021,1
21624,2021-01-17,76,Occitanie,3.05,10.96,7.0,2021,1
21625,2021-01-18,75,Nouvelle-Aquitaine,-1.32,9.48,4.08,2021,1
21626,2021-01-18,84,Auvergne-Rhône-Alpes,-1.25,5.18,1.96,2021,1
21627,2021-01-18,27,Bourgogne-Franche-Comté,-0.03,5.25,2.61,2021,1
21628,2021-01-18,52,Pays de la Loire,-1.65,8.3,3.32,2021,1
21629,2021-01-18,93,Provence-Alpes-Côte d'Azur,1.1,10.22,5.66,2021,1
21630,2021-01-18,53,Bretagne,2.2,9.98,6.09,2021,1
21631,2021-01-19,76,Occitanie,-3.15,12.65,4.75,2021,1
21632,2021-01-19,75,Nouvelle-Aquitaine,-0.25,13.13,6.44,2021,1
21633,2021-01-19,93,Provence-Alpes-Côte d'Azur,-2.33,11.47,4.57,2021,1
21634,2021-01-19,28,Normandie,4.82,8.34,6.58,2021,1
21635,2021-01-20,44,Grand Est,1.54,11.22,6.38,2021,1
21636,2021-01-20,28,Normandie,6.56,10.76,8.66,2021,1
21637,2021-01-21,32,Hauts-de-France,4.82,9.14,6.98,2021,1
21638,2021-01-21,11,Île-de-France,5.38,10.06,7.72,2021,1
21639,2021-01-21,24,Centre-Val de Loire,6.93,10.87,8.9,2021,1
21640,2021-01-21,94,Corse,6.25,16.35,11.3,2021,1
21641,2021-01-21,75,Nouvelle-Aquitaine,8.12,13.55,10.84,2021,1
21642,2021-01-23,52,Pays de la Loire,2.65,7.5,5.08,2021,1
21643,2021-01-25,93,Provence-Alpes-Côte d'Azur,2.43,9.12,5.78,2021,1
21644,2021-01-26,93,Provence-Alpes-Côte d'Azur,-0.37,8.72,4.18,2021,1
